# === Measurement Header ===
# Radar Frequency: 13GHz
# Site Name: 
# Radar Angle: 
# Measurement ID: 1
# Polarization: 
# Timestamp: 2024-11-11T08:39:44.003820
# Device Number: 500230001
# Frontend Connected: 4262658049
# Firmware Version: 66821
# Firmware Revision: 129043
# Firmware Date: 420087783
# Min Frequency: 12500000
# Max Frequency: 14500000
# Signal Type: 3
# TX Channel Selection: 1
# RX Channel Selection: 15
# TX Power Setting: 15
# RX Power Setting: 0
# Ramp Init: 1000
# Ramp Time: 102400
# Ramp Reset: 27100
# Ramp Delay: 0
# Radar Cube: 2
# Processing: 1
# Range Window Function: 2
# Min Range Bin: 0
# Max Range Bin: 1023
# Trigger Threshold: 90
# RX Channels: 15
# ==========================

# Comments: 
# ==========================

# Chirp Number: 1
# Timestamp: 2024-11-11T08:39:44.003853
-2278, -3020, 10782, -3608
-3258, -1450, 10186, -6074
-3298, 166, 9028, -8384
-2562, 1356, 7260, -10418
-1482, 1862, 4750, -11690
-442, 1804, 1630, -12232
400, 1500, -2382, -12256
1026, 1074, -6510, -10926
1462, 482, -9790, -8172
1610, -174, -11902, -4530
1382, -716, -12562, -762
920, -1074, -12194, 2734
474, -1090, -11278, 5734
196, -850, -9762, 7778
166, -566, -8004, 9192
426, -452, -6084, 10430
820, -656, -3814, 11326
1088, -1218, -992, 11946
956, -2006, 2418, 12010
276, -2608, 6200, 10900
-764, -2724, 10094, 8480
-1872, -2310, 13080, 4784
-2722, -1452, 14414, 440
-3202, -338, 14440, -4130
-3328, 770, 12990, -8268
-3186, 1812, 10176, -11228
-2722, 2934, 6462, -12854
-1760, 3978, 2514, -12964
-188, 4544, -1104, -11748
1918, 4404, -4022, -9830
4098, 3272, -6174, -7692
5742, 1248, -7750, -5530
6306, -1200, -8870, -3454
5744, -3438, -9664, -1480
4298, -4840, -9840, 364
2384, -5364, -9684, 2220
522, -5292, -9460, 4268
-1066, -4816, -8880, 6692
-2316, -4118, -7530, 9030
-3224, -3330, -5308, 10708
-4078, -2414, -2272, 11718
-4986, -1200, 1534, 11880
-5452, 292, 5446, 10552
-5074, 1822, 8532, 7820
-4164, 3200, 10712, 4152
-2808, 4232, 11790, 138
-1244, 4552, 11256, -3370
208, 4280, 9428, -6000
1390, 3762, 6870, -7628
2332, 3220, 4090, -7948
3172, 2642, 1786, -7218
4092, 1912, 252, -6134
5014, 804, -560, -5228
5592, -738, -996, -4620
5642, -2590, -1360, -4390
4930, -4462, -1944, -4544
3528, -5836, -2948, -4670
1510, -6492, -4434, -4424
-740, -6406, -6430, -3602
-2816, -5414, -8324, -1936
-4316, -3948, -9750, 638
-5128, -2314, -10246, 3766
-5424, -718, -9356, 7052
-5378, 736, -6906, 9814
-4944, 2000, -3228, 11138
-4122, 3048, 680, 10588
-3016, 3806, 4068, 8680
-1792, 4288, 6408, 6086
-442, 4530, 7532, 3432
950, 4284, 7480, 1278
2256, 3572, 6818, -248
3270, 2616, 6126, -1250
3910, 1596, 5554, -1888
4330, 522, 5192, -2446
4728, -692, 5138, -3264
4858, -2032, 5014, -4204
4464, -3428, 4646, -5262
3476, -4576, 3896, -6256
1830, -5294, 2554, -7378
-166, -5284, 486, -8352
-1898, -4496, -2122, -8476
-3114, -3322, -5062, -7640
-3790, -2046, -8002, -5762
-3906, -846, -10280, -2886
-3554, 160, -11416, 612
-2992, 794, -11098, 4142
-2496, 1012, -9500, 7056
-2300, 1132, -6948, 9122
-2294, 1410, -3894, 9962
-2268, 1882, -1010, 9514
-1900, 2536, 1360, 8370
-1158, 3282, 3262, 7142
130, 3888, 4876, 6016
1656, 3840, 6026, 4738
3136, 3104, 6866, 3460
4396, 1728, 7676, 2078
4968, 16, 8206, 602
4834, -1776, 8728, -1116
4030, -3388, 9396, -3354
2658, -4328, 9562, -5960
1068, -4612, 8754, -8896
-420, -4266, 6568, -11464
-1578, -3472, 3050, -13026
-2382, -2480, -1478, -13198
-2850, -1454, -6356, -11826
-3000, -458, -11116, -8746
-2836, 472, -14608, -4202
-2238, 1116, -15938, 1188
-1420, 1264, -14866, 6246
-786, 990, -11874, 10098
-554, 554, -7738, 12390
-692, 312, -3288, 12780
-954, 532, 918, 11874
-1070, 1100, 4550, 9900
-830, 1678, 7088, 7172
-238, 1974, 8424, 4178
476, 1900, 8606, 1514
1170, 1652, 8056, -632
1830, 1250, 7204, -2112
2358, 698, 6266, -2986
2650, 24, 5446, -3564
2780, -804, 4872, -4192
2620, -1758, 4280, -5230
2074, -2538, 3270, -6328
1228, -2942, 1672, -7048
178, -3016, -368, -7328
-848, -2794, -2762, -6940
-1630, -2294, -5016, -5782
-2172, -1546, -6714, -3898
-2466, -680, -7832, -1542
-2424, 206, -8202, 1036
-2148, 970, -7806, 3608
-1624, 1480, -6476, 5880
-952, 1736, -4258, 7304
-120, 1648, -1480, 7728
626, 1232, 1390, 7124
1040, 608, 3710, 5564
982, -10, 5266, 3466
536, -288, 6106, 1204
74, -178, 6034, -1058
-80, 266, 5018, -2928
114, 626, 3234, -3982
568, 678, 1250, -3958
1070, 426, -434, -3180
1414, -128, -1542, -1938
1518, -670, -1828, -666
1350, -1142, -1484, 276
948, -1498, -818, 784
416, -1582, -22, 822
-176, -1414, 736, 462
-654, -1014, 1188, -174
-778, -442, 1186, -1000
-530, 10, 688, -1614
-62, 108, -142, -1846
404, -174, -1126, -1596
596, -642, -1938, -844
384, -1090, -2246, 310
-120, -1280, -1860, 1432
-706, -1166, -800, 2098
-1212, -734, 670, 1970
-1440, -164, 1844, 1024
-1360, 426, 2326, -356
-1030, 920, 1918, -1654
-470, 1144, 834, -2376
218, 1084, -464, -2454
770, 788, -1632, -1982
1092, 316, -2536, -1168
1134, -194, -3212, -130
910, -582, -3534, 1158
536, -694, -3268, 2452
180, -598, -2462, 3498
-12, -342, -1164, 4154
-18, -14, 518, 4326
192, 176, 2448, 3828
528, 284, 4034, 2702
1080, 220, 5092, 1032
1788, -130, 5426, -812
2314, -846, 4908, -2382
2394, -1872, 3830, -3486
1792, -2886, 2478, -4030
588, -3496, 1106, -4050
-924, -3456, -14, -3728
-2242, -2772, -852, -3264
-2986, -1614, -1402, -2748
-3124, -406, -1814, -2262
-2826, 564, -2230, -1878
-2180, 1176, -2546, -1502
-1536, 1406, -2874, -1114
-1040, 1412, -3212, -686
